"","x"
"1","gc"
"2","au"
"3","ccsu"
"4","ecu"
"5","nyu"
"6","jcu"
"7","unl"
"8","acu"
"9","bu"
"10","byu"
"11","ccu"
"12","cnu"
"13","csu"
"14","cup"
"15","etsu"
"16","ewu"
"17","fau"
"18","fdu"
"19","buet"
"20","bufs"
"21","buit"
"22","buitems"
"23","buk"
"24","bvdu"
"25","bvu"
"26","byuh"
"27","byui"
"28","bzu"
"29","cau"
"30","cblu"
"31","cbpbu"
"32","cbu"
"33","cccu"
"34","ccnu"
"35","ccshau"
"36","fgcu"
"37","fiu"
"38","hu"
"39","iub"
"40","jmu"
"41","jnu"
"42","ju"
"43","liu"
"44","lmu"
"45","lssu"
"46","lsu"
"47","luc"
"48","msu"
"49","mtsu"
"50","mtu"
"51","nau"
"52","ndsu"
"53","psu"
"54","tcu"
"55","ucf"
"56","uhv"
"57","uiuc"
"58","uk"
"59","ur"
"60","uwf"
"61","asu"
"62","aum"
"63","ba"
"64","bju"
"65","bsu"
"66","cdu"
"67","cgu"
"68","cmu"
"69","cu"
"70","dsu"
"71","du"
"72","dvc"
"73","eiu"
"74","eku"
"75","emu"
"76","fpu"
"77","fsu"
"78","gcu"
"79","hsu"
"80","jsu"
"81","kau"
"82","kcl"
"83","knust"
"84","ksu"
"85","ku"
"86","lhu"
"87","ltu"
"88","lu"
"89","ncsu"
"90","nku"
"91","nu"
"92","ocu"
"93","osd"
"94","qaa"
"95","qmul"
"96","qu"
"97","ram"
"98","ru"
"99","su"
"100","ttu"
"101","uab"
"102","ub"
"103","uc"
"104","uci"
"105","ucl"
"106","ucsb"
"107","uhcl"
"108","uhd"
"109","uit"
"110","umkc"
"111","unh"
"112","uni"
"113","unm"
"114","unt"
"115","uo"
"116","usc"
"117","uvu"
"118","uw"
"119","uwgb"
"120","uwm"
"121","vcu"
"122","wfu"
"123","wku"
"124","wvu"
"125","xu"
"126","ysu"
"127","yu"
"128","aiou"
"129","anu"
"130","auss"
"131","bass"
"132","bgsu"
"133","bhsu"
"134","boe"
"135","bpp"
"136","bua"
