"","Midwest","Northeast","Southeast","","West","West ","South","Northwest ","Southwest ","Canada ","Northeast "
"Admissions/Student Recruitment & Retention Efforts",36.1111111111111,31.4285714285714,36.3636363636364,100,57.6923076923077,75,50,50,0,25,100
"Campus Communicating Out Shared Values/Public Engagement",52.7777777777778,68.5714285714286,90.9090909090909,66.6666666666667,73.0769230769231,0,37.5,50,100,25,100
"DEI Work Compensation/Recognition",13.8888888888889,17.1428571428571,36.3636363636364,0,34.6153846153846,25,37.5,50,0,25,0
"Decolonizing Curriculum",41.6666666666667,54.2857142857143,72.7272727272727,33.3333333333333,50,25,37.5,50,0,75,100
"Diversify collaborators, speakers, etc",13.8888888888889,5.71428571428571,18.1818181818182,0,7.69230769230769,0,0,16.6666666666667,0,0,0
"Diversifying Faculty/Staff and Campus Leadership",52.7777777777778,68.5714285714286,81.8181818181818,33.3333333333333,53.8461538461538,100,50,83.3333333333333,0,100,100
"Endowment/Investment/Scholarship/Fellowships for BIPOC",41.6666666666667,37.1428571428571,54.5454545454545,33.3333333333333,50,75,62.5,33.3333333333333,0,100,100
"Health and Wellbeing of BIPOC Academics",27.7777777777778,14.2857142857143,54.5454545454545,0,30.7692307692308,100,12.5,16.6666666666667,100,75,100
"Improve and Report Demographic and/or Qualitative Data from BIPOC",13.8888888888889,14.2857142857143,63.6363636363636,33.3333333333333,23.0769230769231,0,12.5,16.6666666666667,0,25,100
"Legal/Policy/Advocacy Work for BIPOC",38.8888888888889,40,81.8181818181818,0,46.1538461538462,25,50,33.3333333333333,100,25,100
"Organizational Commitment to Change",77.7777777777778,68.5714285714286,100,100,76.9230769230769,100,100,83.3333333333333,100,100,100
"Personal Committment to Change (Training)",50,48.5714285714286,81.8181818181818,100,57.6923076923077,75,25,50,0,75,100
"Post Doctoral Fellows",0,5.71428571428571,0,0,3.84615384615385,0,0,0,0,0,0
"Questions",0,0,0,0,0,0,0,0,0,0,0
"Unsure",0,0,0,0,0,0,0,0,0,0,0
"Words vs. Action",8.33333333333333,5.71428571428571,18.1818181818182,0,11.5384615384615,50,12.5,16.6666666666667,100,0,0
