"","Pacific","Mountain","South Atlantic","West North Central","East North Central","New England","Middle Atlantic","West South Central"
"Admissions/Student Recruitment & Retention Efforts",26.3157894736842,0,0,0,14.2857142857143,10,25,0
"Campus Communicating Out Shared Values/Public Engagement",0,0,0,33.3333333333333,0,0,0,0
"DEI Work Compensation/Recognition",10.5263157894737,0,33.3333333333333,0,0,0,25,0
"Decolonizing Curriculum",31.5789473684211,100,33.3333333333333,33.3333333333333,14.2857142857143,60,50,100
"Diversify collaborators, speakers, etc",0,0,0,33.3333333333333,14.2857142857143,0,0,0
"Diversifying Faculty/Staff and Campus Leadership",36.8421052631579,0,66.6666666666667,0,14.2857142857143,60,25,0
"Endowment/Investment/Scholarship/Fellowships for BIPOC",21.0526315789474,0,0,33.3333333333333,42.8571428571429,30,25,100
"Health and Wellbeing of BIPOC Academics",5.26315789473684,0,0,33.3333333333333,0,0,25,0
"Improve and Report Demographic and/or Qualitative Data from BIPOC",10.5263157894737,0,33.3333333333333,33.3333333333333,0,0,25,0
"Legal/Policy/Advocacy Work for BIPOC",15.7894736842105,0,33.3333333333333,0,0,0,0,0
"Organizational Commitment to Change",21.0526315789474,0,0,0,14.2857142857143,0,25,100
"Personal Committment to Change (Training)",42.1052631578947,100,66.6666666666667,66.6666666666667,42.8571428571429,20,25,0
"Post Doctoral Fellows",5.26315789473684,0,0,0,0,0,25,0
"Questions",0,0,0,0,0,0,0,0
"Unsure",0,0,0,0,0,0,0,0
"Words vs. Action",10.5263157894737,0,0,0,0,0,0,0
